,route,id,navaid,latitude,longitude
0,A1,1,HCE,33.11435,139.788483
1,A1,2,KARTA,33.193211,138.972397
2,A1,3,KEC,33.447742,135.794494
3,A1,4,ALBAT,33.364503,135.441514
4,A1,5,HALON,33.248769,134.997222
5,A1,6,JAKAL,33.062028,134.234275
6,A1,7,GREEN,32.898675,133.5665
7,A1,8,SUC,32.755969,132.996647
8,A1,9,FENIX,32.141783,131.591481
9,A1,10,JINGU,31.902725,131.048667
10,A1,11,HKC,31.697222,130.582942
11,A1,12,KAZAN,31.385036,130.111267
12,A1,13,KOSHI,31.288503,129.964714
13,A1,14,JEDAI,30.774644,129.201156
14,A1,15,RUSAR,29.865028,127.837142
15,A1,16,AKVAS,29.586997,127.464681
16,A1,17,URUMA,28.970067,126.5793
17,A1,18,SAPET,28.637081,126.131483
18,A1,19,IGMON,27.622128,124.720519
19,A1,20,BULAN,27.091667,124.0
20,A1,21,OSTAR,26.331667,123.0
21,A1,22,AISAR,25.947472,122.493222
22,A1,23,DRAKE,25.615561,122.077947
23,A1,24,ANNNA,25.571806,122.022167
24,A1,25,APU,25.176861,121.52225
25,A1,26,HLG,24.559806,120.727167
26,A1,27,SWORD,24.0025,120.094167
27,A1,28,MKG,23.595444,119.637278
28,A1,29,KADLO,22.955056,118.541722
29,A1,30,ANPOG,22.604167,117.954444
30,A1,31,ELATO,22.333333,117.5
31,A1,32,MAGOG,22.296111,115.825
32,A1,33,CH,22.219542,114.030056
33,A1,34,IDOSI,19.0,112.5
34,A1,35,IKELA,18.661667,112.245
35,A1,36,LENKO,17.416667,110.3
36,A1,37,BUNTA,16.833333,109.395
37,A1,38,BINKU,16.559722,108.973056
38,A1,39,KANGU,16.354167,108.664722
39,A1,40,DAN,16.052764,108.198228
40,A1,41,PATNO,15.965,107.885
41,A1,42,TANNA,15.903333,107.658889
42,A1,43,PAPRA,15.766667,107.183333
43,A1,44,BUTRA,15.418278,105.596083
44,A1,45,UBL,15.245197,104.865917
45,A1,46,PASAT,14.957447,103.790597
46,A1,47,SANOT,14.859503,103.429931
47,A1,48,TOPER,14.635444,102.760594
48,A1,49,SELKA,14.338906,101.886314
49,A1,50,ROBKA,14.178597,101.418875
50,A1,51,BKK,13.893556,100.596194
51,A1,52,CVO,30.092306,31.388417
52,A1,53,MENKU,31.091944,30.301667
53,A1,54,NOZ,31.187639,29.950722
54,A1,55,BOPED,31.494167,29.448611
55,A1,56,KATEX,32.116944,28.41
56,A1,57,SOKAL,32.600278,27.618333
57,A1,58,METRU,34.0,25.15
58,A1,59,BANKO,45.82,7.054722
59,A1,60,SPR29,46.063611,6.828056
60,A1,61,SPR20,46.189444,6.710833
61,A1,62,TMA32,46.273333,6.6325
62,A1,63,SPR,46.468694,6.448056
63,A1,64,DINOX,46.666667,6.119722
64,A1,65,SIROD,46.726944,6.019444
65,A1,66,LISMO,46.870556,5.778056
66,A1,67,DJL,47.270778,5.097333
67,A1,68,LUREN,48.025833,3.913889
68,A1,69,BRY,48.407,3.294778
69,A1,70,FDV,64.494747,-165.315097
70,A1,71,JNR,63.907711,-160.811908
71,A1,72,VTR,62.946858,-155.557308
72,A1,73,CMQ,61.171017,-150.047667
73,A1,74,ATYOL,60.742689,-148.720858
74,A1,75,ALJ,60.479822,-146.587431
75,A1,76,EGGER,60.35705,-145.742072
76,A1,77,CORVA,60.282325,-145.247736
77,A1,78,CAPEM,59.927917,-143.076917
78,A1,79,ATAGA,59.847019,-142.615375
79,A1,80,OCC,59.543639,-139.728169
80,A1,81,SPARL,58.221178,-137.559431
81,A1,82,SIT,56.854619,-135.534353
82,A1,83,LILDE,55.272361,-133.809417
83,A1,84,BBGVP,54.582836,-133.107958
84,A1,85,HALAM,54.503528,-133.029028
85,A1,86,ZP,53.196167,-131.777494
86,A1,87,ZT,50.699167,-127.427222
87,A1,88,QQ,49.754,-124.958097
88,A1,89,YCD,49.1279,-123.87165
89,A1,90,CAMZO,48.782944,-123.53575
90,A1,91,YJ,48.643889,-123.399444
91,A1,92,YJ018,48.802103,-123.014603
92,A1,93,XX002,48.998392,-122.531167
93,A1,94,XX,49.015308,-122.487981
94,A10,1,YJQ,52.185278,-128.113611
95,A10,2,MITEK,53.766667,-129.846111
96,A10,3,PR,54.263333,-130.423889
97,A10,4,SIT,35.068422,26.189064
